dataset,variable,label,type,core
ADSL,STUDYID,Study Identifier,Char,Req
ADSL,USUBJID,Unique Subject Identifier,Char,Req
ADSL,SUBJID,Subject Identifier,Char,Req
ADSL,SITEID,Study Site Identifier,Char,Req
ADSL,AGE,Age,Num,Req
ADSL,AGEU,Age Units,Char,Req
ADSL,AGEGR1,Pooled Age Group 1,Char,Cond
ADSL,AGEGR1N,Pooled Age Group 1 (N),Num,Cond
ADSL,SEX,Sex,Char,Req
ADSL,RACE,Race,Char,Req
ADSL,ETHNIC,Ethnicity,Char,Cond
ADSL,COUNTRY,Country,Char,Cond
ADSL,ARM,Description of Planned Arm,Char,Req
ADSL,ARMCD,Planned Arm Code,Char,Req
ADSL,ACTARM,Description of Actual Arm,Char,Req
ADSL,ACTARMCD,Actual Arm Code,Char,Req
ADSL,TRT01P,Planned Treatment for Period 01,Char,Req
ADSL,TRT01PN,Planned Treatment for Period 01 (N),Num,Req
ADSL,TRT01A,Actual Treatment for Period 01,Char,Req
ADSL,TRT01AN,Actual Treatment for Period 01 (N),Num,Req
ADSL,TRTSDT,Date of First Exposure to Treatment,Num,Req
ADSL,TRTEDT,Date of Last Exposure to Treatment,Num,Req
ADSL,RFSTDTC,Subject Reference Start Date/Time,Char,Req
ADSL,RFENDTC,Subject Reference End Date/Time,Char,Req
ADSL,SAFFL,Safety Population Flag,Char,Req
ADSL,ITTFL,Intent-To-Treat Population Flag,Char,Req
ADSL,EFFFL,Efficacy Population Flag,Char,Cond
ADSL,COMP8FL,Completers of Week 8 Population Flag,Char,Cond
ADSL,COMP16FL,Completers of Week 16 Population Flag,Char,Cond
ADSL,COMP24FL,Completers of Week 24 Population Flag,Char,Cond
ADSL,RANDFL,Randomized Population Flag,Char,Cond
ADSL,RANDDT,Date of Randomization,Num,Cond
ADSL,DTHDT,Date of Death,Num,Cond
ADSL,DTHFL,Subject Death Flag,Char,Cond
ADSL,DTHDTC,Date/Time of Death,Char,Cond
ADAE,STUDYID,Study Identifier,Char,Req
ADAE,USUBJID,Unique Subject Identifier,Char,Req
ADAE,TRTA,Actual Treatment,Char,Req
ADAE,TRTAN,Actual Treatment (N),Num,Req
ADAE,AGE,Age,Num,Req
ADAE,AGEGR1,Pooled Age Group 1,Char,Cond
ADAE,SEX,Sex,Char,Req
ADAE,RACE,Race,Char,Req
ADAE,SAFFL,Safety Population Flag,Char,Req
ADAE,AEBODSYS,Body System or Organ Class,Char,Req
ADAE,AEDECOD,Dictionary-Derived Term,Char,Req
ADAE,AETERM,Reported Term,Char,Req
ADAE,AESEV,Severity/Intensity,Char,Cond
ADAE,AESER,Serious Event,Char,Req
ADAE,AEREL,Causality,Char,Cond
ADAE,AEACN,Action Taken,Char,Cond
ADAE,AEOUT,Outcome,Char,Cond
ADAE,ASTDT,Analysis Start Date,Num,Req
ADAE,AENDT,Analysis End Date,Num,Cond
ADAE,ASTDTF,Analysis Start Date Imputation Flag,Char,Cond
ADAE,AENDTF,Analysis End Date Imputation Flag,Char,Cond
ADAE,AESTDTC,Start Date/Time,Char,Cond
ADAE,AEENDTC,End Date/Time,Char,Cond
ADAE,TRTEMFL,Treatment Emergent Analysis Flag,Char,Req
ADAE,AOCCFL,1st Occurrence within Subject Flag,Char,Cond
ADAE,AOCCSFL,1st Occurrence of SOC within Subject,Char,Cond
ADAE,AOCCPFL,1st Occurrence of PT within Subject,Char,Cond
ADAE,CQ01NAM,Customized Query 01 Name,Char,Cond
ADAE,AOESSION,Occurrence with Subject Sequence,Num,Cond
ADLB,STUDYID,Study Identifier,Char,Req
ADLB,USUBJID,Unique Subject Identifier,Char,Req
ADLB,TRTA,Actual Treatment,Char,Req
ADLB,TRTAN,Actual Treatment (N),Num,Req
ADLB,PARAMCD,Parameter Code,Char,Req
ADLB,PARAM,Parameter,Char,Req
ADLB,PARAMN,Parameter (N),Num,Cond
ADLB,PARCAT1,Parameter Category 1,Char,Cond
ADLB,AVAL,Analysis Value,Num,Req
ADLB,AVALC,Analysis Value (C),Char,Cond
ADLB,BASE,Baseline Value,Num,Req
ADLB,BASEC,Baseline Value (C),Char,Cond
ADLB,CHG,Change from Baseline,Num,Cond
ADLB,PCHG,Percent Change from Baseline,Num,Cond
ADLB,ABLFL,Baseline Record Flag,Char,Req
ADLB,ANRLO,Analysis Normal Range Lower Limit,Num,Cond
ADLB,ANRHI,Analysis Normal Range Upper Limit,Num,Cond
ADLB,A1LO,Analysis Range 1 Lower Limit,Num,Cond
ADLB,A1HI,Analysis Range 1 Upper Limit,Num,Cond
ADLB,ANRIND,Analysis Reference Range Indicator,Char,Cond
ADLB,AVISIT,Analysis Visit,Char,Req
ADLB,AVISITN,Analysis Visit (N),Num,Req
ADLB,ADT,Analysis Date,Num,Req
ADLB,ADY,Analysis Relative Day,Num,Cond
ADLB,ATPT,Analysis Timepoint,Char,Cond
ADLB,ATPTN,Analysis Timepoint (N),Num,Cond
ADLB,DTYPE,Derivation Type,Char,Cond
ADLB,SAFFL,Safety Population Flag,Char,Req
ADLB,ONTRTFL,On Treatment Record Flag,Char,Cond
ADLB,LBSEQ,Sequence Number,Num,Cond
ADLB,LBTESTCD,Lab Test Code,Char,Cond
ADTTE,STUDYID,Study Identifier,Char,Req
ADTTE,USUBJID,Unique Subject Identifier,Char,Req
ADTTE,PARAMCD,Parameter Code,Char,Req
ADTTE,PARAM,Parameter,Char,Req
ADTTE,PARAMN,Parameter (N),Num,Cond
ADTTE,AVAL,Analysis Value,Num,Req
ADTTE,CNSR,Censor,Num,Req
ADTTE,EVNTDESC,Event Description,Char,Cond
ADTTE,CNSDTDSC,Censor Date Description,Char,Cond
ADTTE,STARTDT,Time-to-Event Origin Date,Num,Req
ADTTE,ADT,Analysis Date,Num,Req
ADTTE,SRCDOM,Source Domain,Char,Cond
ADTTE,SRCVAR,Source Variable,Char,Cond
ADTTE,SRCSEQ,Source Sequence Number,Num,Cond
ADTTE,TRTA,Actual Treatment,Char,Cond
ADTTE,TRTAN,Actual Treatment (N),Num,Cond
ADTTE,AGE,Age,Num,Cond
ADTTE,AGEGR1,Pooled Age Group 1,Char,Cond
ADTTE,SEX,Sex,Char,Cond
ADTTE,RACE,Race,Char,Cond
ADTTE,SAFFL,Safety Population Flag,Char,Cond
ADTTE,ITTFL,Intent-To-Treat Population Flag,Char,Cond
ADEFF,STUDYID,Study Identifier,Char,Req
ADEFF,USUBJID,Unique Subject Identifier,Char,Req
ADEFF,PARAMCD,Parameter Code,Char,Req
ADEFF,PARAM,Parameter,Char,Req
ADEFF,PARAMN,Parameter (N),Num,Cond
ADEFF,AVAL,Analysis Value,Num,Req
ADEFF,AVALC,Analysis Value (C),Char,Cond
ADEFF,BASE,Baseline Value,Num,Cond
ADEFF,CHG,Change from Baseline,Num,Cond
ADEFF,PCHG,Percent Change from Baseline,Num,Cond
ADEFF,ABLFL,Baseline Record Flag,Char,Req
ADEFF,AVISIT,Analysis Visit,Char,Req
ADEFF,AVISITN,Analysis Visit (N),Num,Req
ADEFF,ADT,Analysis Date,Num,Req
ADEFF,ADY,Analysis Relative Day,Num,Cond
ADEFF,TRTA,Actual Treatment,Char,Req
ADEFF,TRTAN,Actual Treatment (N),Num,Req
ADEFF,SAFFL,Safety Population Flag,Char,Cond
ADEFF,ITTFL,Intent-To-Treat Population Flag,Char,Cond
ADEFF,EFFFL,Efficacy Population Flag,Char,Cond
ADEFF,DTYPE,Derivation Type,Char,Cond
ADEFF,ANL01FL,Analysis Flag 01,Char,Cond
ADCM,STUDYID,Study Identifier,Char,Req
ADCM,USUBJID,Unique Subject Identifier,Char,Req
ADCM,TRTA,Actual Treatment,Char,Req
ADCM,TRTAN,Actual Treatment (N),Num,Req
ADCM,CMTRT,Reported Name of Drug,Char,Req
ADCM,CMDECOD,Standardized Medication Name,Char,Cond
ADCM,CMCAT,Category for Medication,Char,Cond
ADCM,CMINDC,Indication,Char,Cond
ADCM,CMCLAS,Medication Class,Char,Cond
ADCM,CMCLASCD,Medication Class Code,Char,Cond
ADCM,ASTDT,Analysis Start Date,Num,Req
ADCM,AENDT,Analysis End Date,Num,Cond
ADCM,ASTDTF,Analysis Start Date Imputation Flag,Char,Cond
ADCM,AENDTF,Analysis End Date Imputation Flag,Char,Cond
ADCM,ASTDY,Analysis Start Relative Day,Num,Cond
ADCM,AENDY,Analysis End Relative Day,Num,Cond
ADCM,ADURN,Analysis Duration (N),Num,Cond
ADCM,ADURU,Analysis Duration Units,Char,Cond
ADCM,SAFFL,Safety Population Flag,Char,Req
ADCM,ONTRTFL,On Treatment Record Flag,Char,Cond
ADCM,CMSEQ,Sequence Number,Num,Cond
ADCM,AGE,Age,Num,Cond
ADCM,SEX,Sex,Char,Cond
ADCM,RACE,Race,Char,Cond
ADVS,STUDYID,Study Identifier,Char,Req
ADVS,USUBJID,Unique Subject Identifier,Char,Req
ADVS,TRTA,Actual Treatment,Char,Req
ADVS,TRTAN,Actual Treatment (N),Num,Req
ADVS,PARAMCD,Parameter Code,Char,Req
ADVS,PARAM,Parameter,Char,Req
ADVS,PARAMN,Parameter (N),Num,Cond
ADVS,PARCAT1,Parameter Category 1,Char,Cond
ADVS,AVAL,Analysis Value,Num,Req
ADVS,AVALC,Analysis Value (C),Char,Cond
ADVS,BASE,Baseline Value,Num,Cond
ADVS,CHG,Change from Baseline,Num,Cond
ADVS,PCHG,Percent Change from Baseline,Num,Cond
ADVS,ABLFL,Baseline Record Flag,Char,Req
ADVS,ANRLO,Analysis Normal Range Lower Limit,Num,Cond
ADVS,ANRHI,Analysis Normal Range Upper Limit,Num,Cond
ADVS,ANRIND,Analysis Reference Range Indicator,Char,Cond
