domain,variable,label,type,core,min_ig_version
DM,STUDYID,Study Identifier,Char,Req,3.3
DM,DOMAIN,Domain Abbreviation,Char,Req,3.3
DM,USUBJID,Unique Subject Identifier,Char,Req,3.3
DM,SUBJID,Subject Identifier for the Study,Char,Req,3.3
DM,RFSTDTC,Subject Reference Start Date/Time,Char,Req,3.3
DM,RFENDTC,Subject Reference End Date/Time,Char,Req,3.3
DM,SITEID,Study Site Identifier,Char,Req,3.3
DM,AGE,Age,Num,Exp,3.3
DM,AGEU,Age Units,Char,Exp,3.3
DM,SEX,Sex,Char,Req,3.3
DM,RACE,Race,Char,Exp,3.3
DM,ETHNIC,Ethnicity,Char,Exp,3.3
DM,ARMCD,Planned Arm Code,Char,Req,3.3
DM,ARM,Description of Planned Arm,Char,Req,3.3
DM,COUNTRY,Country,Char,Req,3.3
DM,DMDTC,Date/Time of Collection,Char,Perm,3.3
DM,DMDY,Study Day of Collection,Num,Perm,3.3
DM,BRTHDTC,Date/Time of Birth,Char,Perm,3.3
DM,DTHDTC,Date/Time of Death,Char,Perm,3.3
DM,DTHFL,Subject Death Flag,Char,Perm,3.3
DM,ACTARMCD,Actual Arm Code,Char,Req,3.3
DM,ACTARM,Description of Actual Arm,Char,Req,3.3
DM,RFXSTDTC,Date/Time of First Study Treatment,Char,Exp,3.3
DM,RFXENDTC,Date/Time of Last Study Treatment,Char,Exp,3.3
DM,RFICDTC,Date/Time of Informed Consent,Char,Perm,3.3
DM,RFPENDTC,Date/Time of End of Participation,Char,Perm,3.3
AE,STUDYID,Study Identifier,Char,Req,3.3
AE,DOMAIN,Domain Abbreviation,Char,Req,3.3
AE,USUBJID,Unique Subject Identifier,Char,Req,3.3
AE,AESEQ,Adverse Event Sequence Number,Num,Req,3.3
AE,AETERM,Reported Term for the Adverse Event,Char,Req,3.3
AE,AEDECOD,Dictionary-Derived Term,Char,Req,3.3
AE,AEBODSYS,Body System or Organ Class,Char,Exp,3.3
AE,AESEV,Severity/Intensity,Char,Exp,3.3
AE,AESER,Serious Event,Char,Req,3.3
AE,AEACN,Action Taken with Study Treatment,Char,Exp,3.3
AE,AEREL,Causality,Char,Exp,3.3
AE,AEOUT,Outcome of Adverse Event,Char,Exp,3.3
AE,AESTDTC,Start Date/Time of Adverse Event,Char,Exp,3.3
AE,AEENDTC,End Date/Time of Adverse Event,Char,Exp,3.3
AE,AESTDY,Study Day of Start,Num,Perm,3.3
AE,AEENDY,Study Day of End,Num,Perm,3.3
AE,AESCAN,Involves Cancer,Char,Perm,3.3
AE,AESCONG,Congenital Anomaly,Char,Perm,3.3
AE,AESDISAB,Persist or Signif Disability/Incapacity,Char,Perm,3.3
AE,AESDTH,Results in Death,Char,Perm,3.3
AE,AESHOSP,Requires or Prolongs Hospitalization,Char,Perm,3.3
AE,AESLIFE,Is Life Threatening,Char,Perm,3.3
AE,AESMIE,Other Medically Important Serious Event,Char,Perm,3.3
AE,AECONTRT,Concomitant or Additional Trtmnt Given,Char,Perm,3.3
AE,AETOXGR,Standard Toxicity Grade,Char,Perm,3.3
AE,EPOCH,Epoch,Char,Perm,3.3
AE,AEENRF,End Relative to Reference Period,Char,Perm,3.3
AE,AESTRF,Start Relative to Reference Period,Char,Perm,3.3
LB,STUDYID,Study Identifier,Char,Req,3.3
LB,DOMAIN,Domain Abbreviation,Char,Req,3.3
LB,USUBJID,Unique Subject Identifier,Char,Req,3.3
LB,LBSEQ,Laboratory Sequence Number,Num,Req,3.3
LB,LBTESTCD,Lab Test or Examination Short Name,Char,Req,3.3
LB,LBTEST,Lab Test or Examination Name,Char,Req,3.3
LB,LBCAT,Category for Lab Test,Char,Exp,3.3
LB,LBORRES,Result or Finding in Original Units,Char,Exp,3.3
LB,LBORRESU,Original Units,Char,Exp,3.3
LB,LBORNRLO,Reference Range Lower Limit-Orig Unit,Char,Exp,3.3
LB,LBORNRHI,Reference Range Upper Limit-Orig Unit,Char,Exp,3.3
LB,LBSTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
LB,LBSTRESN,Numeric Result/Finding in Standard Units,Num,Exp,3.3
LB,LBSTRESU,Standard Units,Char,Exp,3.3
LB,LBSTNRLO,Reference Range Lower Limit-Std Units,Num,Exp,3.3
LB,LBSTNRHI,Reference Range Upper Limit-Std Units,Num,Exp,3.3
LB,LBNRIND,Reference Range Indicator,Char,Exp,3.3
LB,LBSPEC,Specimen Type,Char,Exp,3.3
LB,LBMETHOD,Method of Test or Examination,Char,Perm,3.3
LB,LBBLFL,Baseline Flag,Char,Perm,3.3
LB,LBDTC,Date/Time of Specimen Collection,Char,Exp,3.3
LB,LBDY,Study Day of Specimen Collection,Num,Perm,3.3
LB,VISITNUM,Visit Number,Num,Exp,3.3
LB,VISIT,Visit Name,Char,Exp,3.3
LB,EPOCH,Epoch,Char,Perm,3.3
LB,LBFAST,Fasting Status,Char,Perm,3.3
LB,LBTOX,Toxicity,Char,Perm,3.3
LB,LBTOXGR,Standard Toxicity Grade,Char,Perm,3.3
VS,STUDYID,Study Identifier,Char,Req,3.3
VS,DOMAIN,Domain Abbreviation,Char,Req,3.3
VS,USUBJID,Unique Subject Identifier,Char,Req,3.3
VS,VSSEQ,Vital Signs Sequence Number,Num,Req,3.3
VS,VSTESTCD,Vital Signs Test Short Name,Char,Req,3.3
VS,VSTEST,Vital Signs Test Name,Char,Req,3.3
VS,VSPOS,Vital Signs Position of Subject,Char,Perm,3.3
VS,VSORRES,Result or Finding in Original Units,Char,Exp,3.3
VS,VSORRESU,Original Units,Char,Exp,3.3
VS,VSSTRESC,Character Result/Finding in Std Format,Char,Exp,3.3
VS,VSSTRESN,Numeric Result/Finding in Standard Units,Num,Exp,3.3
VS,VSSTRESU,Standard Units,Char,Exp,3.3
VS,VSBLFL,Baseline Flag,Char,Perm,3.3
VS,VSDTC,Date/Time of Measurements,Char,Exp,3.3
VS,VSDY,Study Day of Measurements,Num,Perm,3.3
VS,VISITNUM,Visit Number,Num,Exp,3.3
VS,VISIT,Visit Name,Char,Exp,3.3
VS,EPOCH,Epoch,Char,Perm,3.3
EX,STUDYID,Study Identifier,Char,Req,3.3
EX,DOMAIN,Domain Abbreviation,Char,Req,3.3
EX,USUBJID,Unique Subject Identifier,Char,Req,3.3
EX,EXSEQ,Exposure Sequence Number,Num,Req,3.3
EX,EXTRT,Name of Treatment,Char,Req,3.3
